Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
iball,2200,6,Yes,4,1,8,android,Yes,Yes,Yes,2,No,No,3999,720,1280,8,5
htc,3300,6,Yes,8,3,32,android,Yes,Yes,No,2,Yes,Yes,7999,720,1520,12,8
tecno,3050,6,Yes,4,3,32,android,Yes,Yes,Yes,2,Yes,Yes,5930,720,1440,13,13
gionee,1950,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,No,4150,480,854,5,2
nubia,3000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,8999,720,1280,13,5
intex,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,4400,480,854,5,2
oppo,2900,5,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,12000,720,1280,13,16
lg,3550,6,Yes,8,6,64,android,Yes,Yes,Yes,2,Yes,Yes,39990,1080,2248,12,8
ziox,3000,5,Yes,4,1,16,android,Yes,Yes,Yes,2,No,Yes,3499,480,854,5,5
intex,2000,5,Yes,4,0,8,android,Yes,Yes,Yes,2,Yes,No,2199,480,854,2,0
lenovo,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,No,No,6450,480,854,5,2
coolpad,2500,6,Yes,4,3,16,android,Yes,Yes,Yes,2,Yes,Yes,5990,720,1280,8,8
htc,2500,5,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,15500,1080,1920,16,16
mphone,3050,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,6499,1080,1920,21,8
gionee,2050,5,Yes,8,1,16,android,Yes,Yes,Yes,1,Yes,No,5499,720,1280,8,5
aqua,2800,5,Yes,4,1,16,android,Yes,Yes,No,1,No,No,4599,720,1280,13,5
xiaomi,4850,6,Yes,6,4,128,android,Yes,Yes,Yes,2,Yes,Yes,19999,1080,1920,16,5
sony,2300,5,Yes,8,3,32,android,Yes,Yes,No,2,No,Yes,7994,720,1280,23,8
ivoomi,4000,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,4999,720,1440,13,8
intex,3000,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,8200,720,1280,13,5
blackberry,2515,4,Yes,2,2,16,blackberry,Yes,Yes,Yes,1,Yes,No,13899,720,720,8,2
oppo,3075,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,15990,720,1280,13,16
lg,2300,5,Yes,4,2,16,android,Yes,Yes,Yes,1,Yes,Yes,7990,720,1280,13,8
