Brand,Battery_capacity(mAh),Screen_size(inches),Processor,RAM(GB),Internal_storage(GB),Operating system,Number of SIMs,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
realme,5000,7,8,3,32,android,2,8600,720.0,1600.0,12,13
vivo,5000,7,8,4,64,android,2,12990,1080.0,2340.0,16,32
xiaomi,4030,6,8,4,64,android,2,11845,720.0,1560.0,48,32
asus,5000,6,8,6,64,android,2,27999,1080.0,2340.0,48,48
samsung,3500,6,8,6,128,android,2,16879,1080.0,2340.0,32,16
xiaomi,4000,6,8,3,32,android,2,8649,1080.0,2340.0,48,13
motorola,3500,6,8,4,128,android,2,13690,1080.0,2520.0,48,25
nubia,5000,7,8,8,128,android,2,35999,1080.0,2340.0,48,16
oppo,4020,7,8,4,128,android,2,11990,1080.0,2340.0,16,16
google,3700,6,8,4,64,android,1,34999,1080.0,2160.0,12,8
lg,3550,6,8,6,64,android,2,39990,1080.0,2248.0,12,8
vivo,3700,6,8,6,128,android,2,17973,1080.0,2340.0,48,32
xiaomi,4000,6,8,3,32,android,2,9699,1080.0,2340.0,12,13
samsung,5000,6,8,3,32,android,2,9999,1080.0,2340.0,13,8
samsung,5000,6,8,3,32,android,2,9499,1080.0,2340.0,13,16
asus,5000,6,8,3,32,android,2,11999,1080.0,2280.0,12,13
realme,3500,6,8,3,32,android,2,8999,1080.0,2340.0,13,25
honor,3400,6,8,3,32,android,2,7999,1080.0,2340.0,13,24
nokia,3500,6,8,4,64,android,2,18000,1080.0,2244.0,12,20
samsung,3800,6,8,6,128,android,2,22000,1080.0,2220.0,24,24
samsung,3300,6,8,4,64,android,2,16490,1080.0,2220.0,24,24
xiaomi,4000,6,8,4,64,android,2,9580,1080.0,2280.0,12,20
vivo,3400,6,8,6,64,android,2,14990,1080.0,2340.0,12,25
oppo,3700,6,8,8,128,android,2,21299,1080.0,2340.0,12,25
nokia,3060,6,8,3,32,android,2,6999,720.0,1520.0,13,8
honor,3750,7,8,4,64,android,2,9999,1080.0,2340.0,20,16
poco,4000,6,8,6,64,android,2,14990,1080.0,2246.0,12,20
nokia,3060,6,8,4,64,android,2,8999,1080.0,2280.0,16,16
vivo,4000,7,8,8,128,android,2,29999,1080.0,2316.0,12,8
oppo,3730,6,8,8,256,android,2,59090,1080.0,2340.0,16,25
honor,3750,6,8,4,64,android,2,18011,1080.0,2340.0,16,16
realme,3410,6,8,3,32,android,2,10299,1080.0,2160.0,13,8
xiaomi,3000,6,8,4,64,android,2,8990,1080.0,2160.0,12,20
honor,3400,6,8,6,128,android,2,16990,1080.0,2280.0,16,24
oppo,3400,6,8,4,64,android,2,18990,1080.0,2280.0,16,25
vivo,3200,6,8,6,64,android,2,18290,1080.0,2280.0,12,12
nokia,3260,6,8,6,128,android,1,13999,1440.0,2560.0,12,5
infinix,4000,6,8,3,32,android,2,9999,720.0,1440.0,13,20
nokia,3000,6,8,3,32,android,2,8849,1080.0,1920.0,16,8
honor,3750,6,8,6,128,android,2,15899,1080.0,2160.0,16,13
infinix,4350,6,8,6,128,android,2,15900,1080.0,1920.0,12,16
oppo,3200,6,8,4,32,android,2,10499,1080.0,2160.0,16,20
oneplus,3300,6,8,6,64,android,2,28499,1080.0,2160.0,16,16
honor,3340,6,8,4,64,android,2,8999,1080.0,2160.0,16,16
xiaomi,3400,6,8,6,64,android,2,29999,1080.0,2160.0,12,5
lenovo,4000,5,8,3,32,android,2,6990,1080.0,1920.0,13,8
xiaomi,3080,6,8,4,32,android,2,9999,1080.0,1920.0,12,5
lg,3300,6,8,4,128,android,2,27999,1440.0,2880.0,16,5
lenovo,4000,6,10,3,32,android,2,7299,1080.0,1920.0,13,13
motorola,3000,5,8,3,32,android,2,9999,1080.0,1920.0,16,5
google,3520,6,8,4,64,android,1,12994,1440.0,2880.0,12,8
google,2700,5,8,4,64,android,1,9994,1080.0,1920.0,12,8
motorola,3000,5,8,3,32,android,2,12500,1080.0,1920.0,12,16
motorola,3000,6,8,3,32,android,2,8500,1080.0,1920.0,13,8
xiaomi,3300,6,8,2,16,android,2,6499,720.0,1440.0,12,5
xiaomi,4000,6,8,3,32,android,2,8699,1080.0,2160.0,12,5
jio,2000,2,2,0,4,cyanogen,1,1249,240.0,320.0,2,0
samsung,3300,6,8,4,32,android,2,9890,1080.0,1920.0,13,13
motorola,3000,6,8,4,64,android,2,10499,1080.0,1920.0,12,5
yu,3000,5,8,4,32,android,2,5990,1080.0,1920.0,13,8
xiaomi,5300,6,8,4,32,android,2,8999,1080.0,1920.0,12,5
coolpad,4060,6,8,6,64,android,2,8999,1080.0,1920.0,13,8
oneplus,3300,6,8,6,64,android,2,17499,1080.0,1920.0,16,16
honor,4000,6,8,6,128,android,2,17586,1440.0,2560.0,12,8
micromax,3200,6,8,4,128,android,2,13999,1080.0,1920.0,13,13
oppo,4000,6,8,4,64,android,2,13990,1080.0,1920.0,16,16
sony,3230,6,8,4,64,android,2,33500,2160.0,3840.0,19,13
motorola,3000,5,8,3,16,android,2,10900,1080.0,1920.0,12,5
asus,5000,5,8,3,32,android,2,14999,720.0,1280.0,13,8
samsung,3300,6,1,4,64,android,2,16999,1080.0,1920.0,16,16
htc,2500,5,8,4,64,android,2,15500,1080.0,1920.0,16,16
htc,3000,6,4,4,64,android,2,54665,1440.0,2560.0,12,16
asus,3300,6,4,8,128,android,2,49999,1440.0,2560.0,23,8
xiaomi,3120,5,4,2,16,android,2,6999,720.0,1280.0,13,5
xiaomi,4100,5,8,2,16,android,2,8999,720.0,1280.0,13,5
nubia,3000,5,8,4,64,android,2,16999,1080.0,1920.0,23,13
lenovo,3500,5,4,3,32,android,2,11499,1080.0,1920.0,13,8
lg,3200,6,4,4,64,android,2,26999,1440.0,2560.0,16,5
lenovo,4000,5,8,3,32,android,2,8500,1080.0,1920.0,13,8
sony,2900,5,4,3,64,android,2,11999,1080.0,1920.0,23,13
samsung,3300,6,8,3,16,android,2,15995,1080.0,1920.0,13,8
motorola,3510,6,8,3,32,android,2,8990,1080.0,1920.0,16,5
xiaomi,4100,6,8,2,32,android,2,9990,1080.0,1920.0,13,5
xiaomi,4100,5,8,3,32,android,2,8000,720.0,1280.0,13,5
