Brand,Battery capacity,Screen size,Resolution,Processor,RAM,Internal storage,Camera,Operating system,Number of SIMs,Price
LG,3300 mAh,6 inch,1440 x 2880 px,1,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,1,23990
OnePlus,3400 mAh,6 inch,1080 x 1920 px,4,6000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,19999
Samsung,4000 mAh,6 inch,1080 x 1920 px,8,6000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,16999
Google,3450 mAh,6 inch,1440 x 2560 px,4,4000 mb,32 GB,12.3 MP Rear +  8 MP Front Camera,Android,1,30990
Apple,2900 mAh,6 inch,1080 x 1920 px,4,3000 mb,32 GB,12 MP Rear +  7 MP Front Camera,iOS,1,34999
Apple,1960 mAh,5 inch,750 x 1334 px,4,2000 mb,32 GB,12 MP Rear +  7 MP Front Camera,iOS,1,27999
Honor,3000 mAh,5 inch,1080 x 1920 px,8,4000 mb,32 GB,12 MP Rear +  8 MP Front Camera,Android,2,20246
OnePlus,3000 mAh,6 inch,1080 x 1920 px,4,6000 mb,64 GB,16 MP Rear +  8 MP Front Camera,Android,2,22999
Asus,3000 mAh,6 inch,1080 x 1920 px,4,6000 mb,256 GB,23 MP Rear +  8 MP Front Camera,Android,2,44999
Xiaomi,3000 mAh,5 inch,1080 x 1920 px,4,3000 mb,32 GB,16 MP Rear +  4 MP Front Camera,Android,2,24999
Samsung,3600 mAh,6 inch,1440 x 2560 px,8,4000 mb,32 GB,12 MP Rear +  5 MP Front Camera,Android,2,39996
Samsung,3000 mAh,5 inch,1440 x 2560 px,8,4000 mb,32 GB,12 MP Rear +  5 MP Front Camera,Android,2,23999
Motorola,3760 mAh,5 inch,1440 x 2560 px,8,3000 mb,32 GB,21 MP Rear +  5 MP Front Camera,Android,1,6994
Huawei,3450 mAh,6 inch,1440 x 2560 px,8,3000 mb,32 GB,12.3 MP Rear +  8 MP Front Camera,Android,1,42998
Apple,2750 mAh,6 inch,1080 x 1920 px,1,2000 mb,16 GB,12 MP Rear +  5 MP Front Camera,iOS,1,25990
Yu,2500 mAh,6 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Cyanogen,2,5995
Samsung,3050 mAh,6 inch,1080 x 1920 px,8,2000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,2,7299
Samsung,2550 mAh,5 inch,1440 x 2560 px,8,3000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,1,25999
Yu,2500 mAh,6 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Cyanogen,2,3999
Xiaomi,3100 mAh,6 inch,720 x 1280 px,8,2000 mb,8 GB,13 MP Rear +  5 MP Front Camera,Android,2,7999
Realme,5000 mAh,7 inch,720 x 1600 px,8,3000 mb,32 GB,12 MP Rear +  5 MP Front Camera,Android,2,6999
Poco,4500 mAh,7 inch,1080 x 2400 px,8,6000 mb,64 GB,64 MP Rear +  20 MP Front Camera,Android,2,15999
