Brand,Battery capacity,Screen size,Resolution,Processor,RAM,Internal storage,Camera,Operating system,Number of SIMs,Price
Micromax,4000 mAh,6 inch,720 x 1500 px,8,3000 mb,32 GB,13 MP Rear +  16 MP Front Camera,Android,2,6299
Coolpad,4000 mAh,6 inch,1080 x 2160 px,8,4000 mb,64 GB,16 MP Rear +  8 MP Front Camera,Android,1,7433
Samsung,3300 mAh,6 inch,720 x 1480 px,4,4000 mb,64 GB,13 MP Rear +  8 MP Front Camera,Android,1,11999
Samsung,3300 mAh,6 inch,720 x 1480 px,4,2000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,1,9499
Samsung,2600 mAh,5 inch,540 x 960 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,6190
10.or,3200 mAh,5 inch,720 x 1440 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4999
Coolpad,2500 mAh,5 inch,720 x 1440 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,1,3900
Infinix,3050 mAh,5 inch,720 x 1440 px,4,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,3999
Infinix,4000 mAh,6 inch,720 x 1440 px,4,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,8999
iVoomi,4000 mAh,5 inch,720 x 1440 px,4,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,4999
Honor,3020 mAh,5 inch,720 x 1440 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,1,5999
Coolpad,4070 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,6999
Panasonic,3250 mAh,6 inch,720 x 1440 px,4,3000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,5709
Nokia,2150 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4672
Tecno,3050 mAh,6 inch,720 x 1440 px,4,3000 mb,32 GB,13 MP Rear +  13 MP Front Camera,Android,2,5930
iVoomi,3000 mAh,5 inch,640 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,4240
Samsung,3300 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  13 MP Front Camera,Android,2,10990
Intex,2800 mAh,5 inch,720 x 1280 px,4,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,4199
Kult,4000 mAh,6 inch,720 x 1280 px,4,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,6899
InFocus,4850 mAh,6 inch,720 x 1280 px,8,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,5350
Nuu Mobile,3200 mAh,6 inch,720 x 1280 px,4,3000 mb,32 GB,8 MP Rear +  5 MP Front Camera,Android,2,4229
Micromax,2900 mAh,6 inch,720 x 1440 px,4,3000 mb,32 GB,13 MP Rear +  16 MP Front Camera,Android,2,4991
Lyf,2800 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3499
Panasonic,4000 mAh,5 inch,720 x 1280 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,9000
Karbonn,2300 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,3399
Ziox,3000 mAh,5 inch,720 x 1280 px,4,1000 mb,16 GB,5 MP Rear +  5 MP Front Camera,Android,2,3499
InFocus,5000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,7099
Karbonn,2900 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,6200
Zopo,2680 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  13 MP Front Camera,Android,2,7399
Intex,4020 mAh,5 inch,720 x 1280 px,4,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,3999
Micromax,3050 mAh,5 inch,720 x 1280 px,4,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4399
Tecno,4000 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,13 MP Rear +  16 MP Front Camera,Android,2,8966
Lava,2620 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,8920
Vivo,3000 mAh,6 inch,720 x 1280 px,8,3000 mb,32 GB,13 MP Rear +  16 MP Front Camera,Android,2,10999
Zopo,3100 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,6990
Vivo,2730 mAh,5 inch,1280 x 720 px,4,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,10990
Nokia,2630 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  8 MP Front Camera,Android,2,6900
Intex,3000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,8200
ZTE,5000 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,12499
Panasonic,2500 mAh,5 inch,720 x 1280 px,4,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,8440
Coolpad,3050 mAh,6 inch,720 x 1080 px,4,2000 mb,16 GB,8 MP Rear +  8 MP Front Camera,Android,3,4590
Coolpad,2500 mAh,6 inch,720 x 1280 px,4,3000 mb,16 GB,8 MP Rear +  8 MP Front Camera,Android,2,5990
Gionee,3130 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,7999
Panasonic,1800 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,4899
Vivo,2550 mAh,5 inch,720 x 1280 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,14980
Micromax,2500 mAh,6 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,3968
InFocus,2300 mAh,5 inch,850 x 480 px,4,2000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,3740
Honor,4000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,8556
Karbonn,2600 mAh,5 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,3999
Lyf,3500 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,12999
Onida,2300 mAh,5 inch,720 x 1280 px,1,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,5385
HTC,3000 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,14770
Intex,2300 mAh,5 inch,720 x 1280 px,4,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,6999
Lava,2500 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,13300
Gionee,2400 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,10200
Micromax,2500 mAh,5 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4799
Vivo,2720 mAh,6 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,13000
Micromax,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,6999
Panasonic,3500 mAh,6 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,4500
Karbonn,2200 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,2999
InFocus,2230 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,7999
Micromax,2500 mAh,5 inch,720 x 1280 px,8,1000 mb,8 GB,13 MP Rear +  2 MP Front Camera,Android,2,6199
Lava,2650 mAh,6 inch,720 x 1280 px,4,2000 mb,32 GB,8 MP Rear +  5 MP Front Camera,Android,2,3999
Micromax,3000 mAh,6 inch,540 x 960 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,9500
Sony,2930 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,20.7 MP Rear +  5 MP Front Camera,Android,1,34915
LG,3000 mAh,6 inch,720 x 1280 px,4,1000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,5999
Intex,1400 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,3500
Micromax,2000 mAh,5 inch,480 x 800 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,3999
Micromax,2000 mAh,5 inch,540 x 960 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,5999
Microsoft,2200 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Windows,2,7000
HTC,2840 mAh,5 inch,1440 x 2560 px,8,2000 mb,16 GB,20 MP Rear +  4 MP Front Camera,Android,1,11000
Intex,1700 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,7500
Karbonn,1900 mAh,5 inch,720 x 1280 px,8,1000 mb,8 GB,8 MP Rear +  8 MP Front Camera,Android,2,7800
BlackBerry,2800 mAh,5 inch,720 x 1280 px,2,2000 mb,16 GB,8 MP Rear +  2 MP Front Camera,BlackBerry,1,7200
Asus,2100 mAh,5 inch,480 x 854 px,2,1000 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,5499
Lava,2500 mAh,5 inch,720 x 1280 px,8,1000 mb,8 GB,8 MP Rear +  3 MP Front Camera,Android,2,8500
Gionee,1950 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4150
Karbonn,1800 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,7000
Micromax,3000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,5599
BlackBerry,2515 mAh,4 inch,720 x 720 px,2,2000 mb,16 GB,8 MP Rear +  2 MP Front Camera,BlackBerry,1,13899
Intex,4000 mAh,5 inch,480 x 854 px,8,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,4500
Gionee,5000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,3490
Honor,2000 mAh,5 inch,720 x 1280 px,4,1000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,5999
Gionee,2050 mAh,5 inch,720 x 1280 px,8,1000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,1,5499
HTC,2600 mAh,6 inch,720 x 1280 px,4,1000 mb,8 GB,13 MP Rear +  5 MP Front Camera,Android,2,21990
Lenovo,2300 mAh,5 inch,1080 x 1920 px,8,2000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,17499
ZTE,2400 mAh,5 inch,720 x 1280 px,4,1000 mb,4 GB,13 MP Rear +  5 MP Front Camera,Android,2,3399
Xolo,2100 mAh,5 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,5888
LG,3000 mAh,6 inch,540 x 960 px,4,1000 mb,8 GB,13 MP Rear +  1.3 MP Front Camera,Android,2,10490
iBall,1900 mAh,5 inch,540 x 960 px,8,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,3199
HTC,2000 mAh,5 inch,720 x 1280 px,8,1000 mb,4 GB,8 MP Rear +  2 MP Front Camera,Android,2,7999
LG,2540 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  1.3 MP Front Camera,Android,1,5999
Xolo,1800 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Windows,2,4495
Sony,2500 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  1.1 MP Front Camera,Android,1,18490
Micromax,2000 mAh,5 inch,480 x 800 px,4,1000 mb,4 GB,5 MP Rear +  2 MP Front Camera,Android,2,8999
Lava,1800 mAh,5 inch,480 x 854 px,4,1000 mb,4 GB,8 MP Rear +  2 MP Front Camera,Android,2,3632
BlackBerry,2500 mAh,5 inch,540 x 960 px,2,1000 mb,8 GB,5 MP Rear +  1.1 MP Front Camera,BlackBerry,1,19000
Lava,2000 mAh,5 inch,540 x 960 px,4,1000 mb,4 GB,8 MP Rear +  0.3 MP Front Camera,Android,2,5040
LG,2540 mAh,5 inch,540 x 960 px,4,1000 mb,8 GB,8 MP Rear +  0.3 MP Front Camera,Android,2,3299
Karbonn,2000 mAh,5 inch,1080 x 1920 px,8,2000 mb,16 GB,16 MP Rear +  8 MP Front Camera,Android,2,12494
Lenovo,4000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  1.5 MP Front Camera,Android,2,18748
Micromax,1800 mAh,5 inch,720 x 1280 px,4,1000 mb,4 GB,8 MP Rear +  5 MP Front Camera,Android,2,6495
Intex,2300 mAh,6 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,16818
Xolo,4000 mAh,6 inch,1080 x 1920 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,18138
Gionee,1700 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,7494
Nokia,1430 mAh,4 inch,480 x 800 px,2,1000 mb,8 GB,5 MP Rear +  0 MP Front Camera,Windows,1,7500
Xolo,2600 mAh,6 inch,720 x 1280 px,4,1000 mb,8 GB,13 MP Rear +  2 MP Front Camera,Android,2,14534
Micromax,2000 mAh,5 inch,1080 x 1920 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,17490
Nokia,3400 mAh,6 inch,720 x 1280 px,2,1000 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Windows,1,9960
LG,3140 mAh,6 inch,540 x 960 px,2,1000 mb,8 GB,8 MP Rear +  1.3 MP Front Camera,Android,2,5899
BlackBerry,2880 mAh,5 inch,720 x 1280 px,2,2000 mb,16 GB,8 MP Rear +  2 MP Front Camera,BlackBerry,1,8300
HTC,1800 mAh,4 inch,480 x 800 px,4,1000 mb,4 GB,8 MP Rear +  1.6 MP Front Camera,Android,2,19000
Nokia,2000 mAh,5 inch,480 x 800 px,2,512 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Windows,1,4999
Xolo,2000 mAh,5 inch,720 x 1280 px,4,1000 mb,4 GB,8 MP Rear +  2 MP Front Camera,Android,1,14153
Gionee,1800 mAh,5 inch,720 x 1280 px,4,1000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,6499
Samsung,2330 mAh,4 inch,560 x 960 px,2,1000 mb,8 GB,16 MP Rear +  1.9 MP Front Camera,Android,1,15990
HTC,1860 mAh,5 inch,540 x 960 px,4,1000 mb,8 GB,8 MP Rear +  1.6 MP Front Camera,Android,2,22500
Samsung,1200 mAh,3 inch,240 x 320 px,1,289 mb,3 GB,2 MP Rear +  0 MP Front Camera,Android,1,3190
Samsung,2100 mAh,5 inch,480 x 800 px,2,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,8999
Nokia,1200 mAh,3 inch,240 x 320 px,1,64 mb,0 GB,3.2 MP Rear +  0 MP Front Camera,Cyanogen,2,4999
Nokia,1300 mAh,4 inch,480 x 800 px,1,256 mb,8 GB,5 MP Rear +  0 MP Front Camera,Windows,1,4990
Nokia,1430 mAh,4 inch,480 x 800 px,2,512 mb,8 GB,5 MP Rear +  0 MP Front Camera,Windows,1,3850
LG,1540 mAh,3 inch,240 x 320 px,1,512 mb,4 GB,3 MP Rear +  0 MP Front Camera,Android,2,1999
BlackBerry,1450 mAh,2 inch,240 x 320 px,1,512 mb,1 GB,2 MP Rear +  0 MP Front Camera,BlackBerry,1,6999
Coolpad,4000 mAh,6 inch,720 x 1520 px,8,4000 mb,64 GB,13 MP Rear +  16 MP Front Camera,Android,1,6999
iVoomi,3000 mAh,6 inch,720 x 1520 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4499
Mobiistar,3000 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  13 MP Front Camera,Android,2,5199
Comio,2900 mAh,6 inch,1080 x 2160 px,4,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,6300
Intex,1400 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,2590
Karbonn,1400 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,3250
Videocon,2000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,3999
iVoomi,3000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,3499
iVoomi,3000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,4999
Asus,2650 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4599
Intex,2100 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,6000
Alcatel,2000 mAh,5 inch,480 x 854 px,1,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,2999
Reach,2600 mAh,6 inch,540 x 960 px,4,1000 mb,8 GB,10 MP Rear +  5 MP Front Camera,Android,2,2699
Karbonn,2250 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,8649
InFocus,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,3199
HTC,2000 mAh,5 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,5499
Intex,3000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4444
HTC,2000 mAh,5 inch,480 x 854 px,4,512 mb,4 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,2699
Xolo,2000 mAh,5 inch,480 x 854 px,4,1000 mb,4 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,9499
BlackBerry,1450 mAh,3 inch,360 x 480 px,1,512 mb,1 GB,5 MP Rear +  0 MP Front Camera,BlackBerry,1,7500
Zen,2900 mAh,6 inch,480 x 854 px,4,2000 mb,16 GB,5 MP Rear +  3.2 MP Front Camera,Android,2,3299
Samsung,4500 mAh,7 inch,1440 x 3200 px,8,8000 mb,128 GB,12 MP Rear +  10 MP Front Camera,Android,2,73999
Samsung,5000 mAh,7 inch,1440 x 3200 px,8,12000 mb,128 GB,108 MP Rear +  40 MP Front Camera,Android,2,92999
Xiaomi,5000 mAh,6 inch,720 x 1520 px,8,2000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,6499
Lava,4120 mAh,6 inch,600 x 1280 px,4,1000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,4829
Samsung,3300 mAh,7 inch,1080 x 2636 px,8,8000 mb,256 GB,12 MP Rear +  10 MP Front Camera,Android,1,174990
Samsung,4000 mAh,6 inch,1440 x 3200 px,8,8000 mb,128 GB,12 MP Rear +  10 MP Front Camera,Android,2,66999
Lava,3200 mAh,6 inch,720 x 1520 px,8,2000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,6299
Nokia,4000 mAh,6 inch,720 x 1520 px,4,2000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,7149
Tecno,6000 mAh,6 inch,720 x 1548 px,8,4000 mb,64 GB,13 MP Rear +  13 MP Front Camera,Android,2,8499
Vivo,5000 mAh,7 inch,1080 x 2340 px,8,4000 mb,128 GB,16 MP Rear +  16 MP Front Camera,Android,2,13990
Lava,2500 mAh,5 inch,480 x 854 px,4,1000 mb,16 GB,5 MP Rear +  2 MP Front Camera,Android,2,3899
Tecno,4000 mAh,7 inch,720 x 1600 px,8,4000 mb,64 GB,16 MP Rear +  8 MP Front Camera,Android,2,9960
Micromax,3950 mAh,6 inch,720 x 1560 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,6694
Google,3700 mAh,6 inch,1440 x 3040 px,8,6000 mb,64 GB,16 MP Rear +  8 MP Front Camera,Android,2,83900
Google,2800 mAh,6 inch,1080 x 2280 px,8,6000 mb,64 GB,16 MP Rear +  8 MP Front Camera,Android,2,69500
Lenovo,4050 mAh,6 inch,720 x 1520 px,8,4000 mb,64 GB,13 MP Rear +  16 MP Front Camera,Android,2,10999
Samsung,4500 mAh,7 inch,1080 x 2400 px,8,6000 mb,128 GB,64 MP Rear +  32 MP Front Camera,Android,1,25999
Apple,3046 mAh,6 inch,1125 x 2436 px,6,4000 mb,64 GB,12 MP Rear +  12 MP Front Camera,iOS,2,96900
Samsung,4000 mAh,7 inch,720 x 1560 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,10999
Oppo,4000 mAh,7 inch,1080 x 2340 px,8,8000 mb,128 GB,48 MP Rear +  16 MP Front Camera,Android,1,20900
Samsung,4000 mAh,6 inch,720 x 1560 px,8,4000 mb,64 GB,25 MP Rear +  16 MP Front Camera,Android,2,13980
Lava,3500 mAh,6 inch,720 x 1520 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,8099
HTC,3300 mAh,6 inch,720 x 1520 px,8,3000 mb,32 GB,12 MP Rear +  8 MP Front Camera,Android,2,7999
Samsung,4000 mAh,6 inch,720 x 1520 px,8,2000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,8499
Huawei,4500 mAh,7 inch,1176 x 2400 px,8,8000 mb,128 GB,40 MP Rear +  32 MP Front Camera,Android,2,77299
Samsung,3500 mAh,6 inch,1080 x 2280 px,8,8000 mb,256 GB,12 MP Rear +  10 MP Front Camera,Android,2,69999
Tecno,3500 mAh,6 inch,1080 x 2340 px,8,6000 mb,128 GB,16 MP Rear +  32 MP Front Camera,Android,2,12999
LG,4050 mAh,6 inch,720 x 1520 px,8,4000 mb,64 GB,13 MP Rear +  16 MP Front Camera,Android,2,12480
Vivo,5000 mAh,6 inch,720 x 1544 px,8,3000 mb,64 GB,8 MP Rear +  8 MP Front Camera,Android,2,9550
Itel,2400 mAh,5 inch,720 x 1440 px,8,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,1,4450
Huawei,4000 mAh,7 inch,1080 x 2340 px,8,4000 mb,128 GB,16 MP Rear +  16 MP Front Camera,Android,2,14450
Samsung,3700 mAh,7 inch,1080 x 2400 px,8,8000 mb,128 GB,48 MP Rear +  0 MP Front Camera,Android,2,35990
Oppo,3765 mAh,6 inch,1080 x 2340 px,8,8000 mb,128 GB,48 MP Rear +  16 MP Front Camera,Android,2,26990
Samsung,2600 mAh,5 inch,540 x 960 px,8,1000 mb,16 GB,5 MP Rear +  5 MP Front Camera,Android,2,5290
Samsung,4000 mAh,6 inch,720 x 1560 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,1,9900
Vivo,4030 mAh,6 inch,720 x 1520 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,6799
Panasonic,4000 mAh,6 inch,1080 x 1920 px,8,4000 mb,64 GB,13 MP Rear +  8 MP Front Camera,Android,2,6488
Lava,2250 mAh,4 inch,400 x 800 px,4,1000 mb,8 GB,2 MP Rear +  2 MP Front Camera,Android,2,3499
Samsung,4380 mAh,7 inch,1536 x 2152 px,8,12000 mb,512 GB,16 MP Rear +  10 MP Front Camera,Android,2,164999
Gionee,3000 mAh,5 inch,720 x 1440 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,1,4488
Tecno,3050 mAh,6 inch,720 x 1440 px,4,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,5899
Tecno,3050 mAh,6 inch,720 x 1440 px,4,2000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,5199
Coolpad,3000 mAh,6 inch,720 x 1520 px,8,3000 mb,32 GB,8 MP Rear +  5 MP Front Camera,Android,2,4649
Vivo,4030 mAh,6 inch,720 x 1520 px,8,2000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,8349
Itel,2400 mAh,5 inch,480 x 960 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3751
Oppo,3400 mAh,6 inch,1080 x 2280 px,8,6000 mb,128 GB,20 MP Rear +  20 MP Front Camera,Android,2,14299
10.or,5000 mAh,6 inch,1080 x 2246 px,8,4000 mb,64 GB,16 MP Rear +  12 MP Front Camera,Android,2,7999
Xolo,3000 mAh,5 inch,720 x 1440 px,4,1000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,3999
Micromax,4000 mAh,6 inch,720 x 1500 px,8,2000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,5899
Tambo,2100 mAh,5 inch,480 x 960 px,4,1000 mb,16 GB,5 MP Rear +  5 MP Front Camera,Android,2,3790
Tambo,2500 mAh,5 inch,480 x 854 px,8,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,3400
Meizu,3300 mAh,6 inch,720 x 1440 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,8999
Meizu,3000 mAh,5 inch,720 x 1440 px,4,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,3539
Motorola,5000 mAh,6 inch,720 x 1520 px,8,3000 mb,32 GB,12 MP Rear +  8 MP Front Camera,Android,2,10870
Motorola,3000 mAh,6 inch,1080 x 2270 px,8,4000 mb,64 GB,12 MP Rear +  8 MP Front Camera,Android,2,8961
Itel,4000 mAh,5 inch,480 x 960 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3990
Vivo,4030 mAh,6 inch,720 x 1520 px,8,4000 mb,64 GB,13 MP Rear +  20 MP Front Camera,Android,1,10499
Lava,3000 mAh,6 inch,720 x 1440 px,4,2000 mb,16 GB,13 MP Rear +  13 MP Front Camera,Android,2,6999
Vivo,4030 mAh,6 inch,720 x 1580 px,8,3000 mb,64 GB,13 MP Rear +  8 MP Front Camera,Android,1,9950
Micromax,5000 mAh,5 inch,720 x 1440 px,4,1000 mb,16 GB,5 MP Rear +  5 MP Front Camera,Android,2,4699
Micromax,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3099
Panasonic,4000 mAh,6 inch,720 x 1500 px,8,4000 mb,64 GB,13 MP Rear +  8 MP Front Camera,Android,2,8490
Panasonic,4000 mAh,6 inch,720 x 1500 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,6990
Panasonic,3000 mAh,6 inch,720 x 1440 px,4,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,8999
Razer,4000 mAh,6 inch,1440 x 2560 px,8,8000 mb,64 GB,12 MP Rear +  8 MP Front Camera,Android,1,54990
