Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
Honor,3000,5,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,20246,1080,1920,12,8
OnePlus,3000,6,Yes,4,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,22999,1080,1920,16,8
Asus,3000,6,Yes,4,6,256,Android,Yes,Yes,Yes,2,Yes,Yes,44999,1080,1920,23,8
Xiaomi,3000,5,Yes,4,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,24999,1080,1920,16,4
Samsung,3600,6,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,39996,1440,2560,12,5
Samsung,3000,5,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,23999,1440,2560,12,5
Motorola,3760,5,Yes,8,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,6994,1440,2560,21,5
Huawei,3450,6,Yes,8,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,42998,1440,2560,12,8
Apple,2750,6,Yes,1,2,16,iOS,Yes,Yes,Yes,1,Yes,Yes,25990,1080,1920,12,5
Yu,2500,6,Yes,8,2,16,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,5995,1080,1920,13,5
Samsung,3050,6,Yes,8,2,32,Android,Yes,Yes,Yes,2,Yes,Yes,7299,1080,1920,16,5
Samsung,2550,5,Yes,8,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,25999,1440,2560,16,5
Yu,2500,6,Yes,8,2,16,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,3999,720,1280,13,5
Xiaomi,3100,6,Yes,8,2,8,Android,Yes,Yes,Yes,2,Yes,No,7999,720,1280,13,5
Realme,5000,7,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,6999,720,1600,12,5
Poco,4500,7,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,15999,1080,2400,64,20
Samsung,4500,7,Yes,8,8,128,Android,Yes,Yes,Yes,1,No,No,39999,1080,2400,48,32
Realme,5000,7,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,8999,720,1600,12,8
Samsung,4500,7,Yes,8,6,128,Android,Yes,Yes,Yes,1,No,No,38999,1080,2400,12,32
Vivo,4500,6,Yes,8,8,128,Android,Yes,Yes,Yes,2,Yes,Yes,21150,1080,2400,48,32
Vivo,5000,7,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,10990,1080,2340,16,16
Realme,5000,7,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,9999,720,1600,48,13
Realme,4000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,16999,1080,2340,64,32
Vivo,4100,6,Yes,8,8,128,Android,Yes,Yes,Yes,2,Yes,Yes,26220,1080,2400,48,32
Nubia,5000,7,Yes,8,8,128,Android,Yes,Yes,No,2,Yes,Yes,47999,1080,2340,48,16
Samsung,6000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,12999,1080,2340,48,16
Vivo,4500,6,Yes,8,4,128,Android,Yes,Yes,Yes,2,Yes,Yes,15990,1080,2340,48,32
Oppo,4000,7,Yes,8,8,256,Android,Yes,Yes,No,1,No,No,23100,1080,2340,48,16
Realme,4000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,14999,1080,2340,64,16
Xiaomi,4500,7,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,13999,1080,2340,64,20
