Brand,Battery_capacity(mAh),Screen_size(inches),Processor,Operating system,Resolution_height(px),Price,Internal_storage(GB),Resolution_width(px),Rear_Camera(MP),Front_Camera(MP),RAM(GB),Number of SIMs
samsung,3300,6,8,android,2960.0,10.819778284410283,4.174387269895637,7.273092595999522,2.5649493574615367,2.1972245773362196,1.9459101490553132,16
apple,1821,5,6,ios,1334.0,10.51867319162636,4.174387269895637,6.621405651764134,2.5649493574615367,2.0794415416798357,1.0986122886681098,1
apple,2691,6,6,ios,1920.0,10.757924157061597,4.174387269895637,6.985641817639208,2.5649493574615367,2.0794415416798357,1.3862943611198906,1
apple,2716,6,6,ios,2436.0,11.156250521031495,4.174387269895637,7.026426808699636,2.5649493574615367,2.0794415416798357,1.3862943611198906,1
motorola,2730,6,8,android,2560.0,9.95227771670556,4.174387269895637,7.273092595999522,2.5649493574615367,1.791759469228055,1.9459101490553132,1
htc,3000,6,8,android,2560.0,10.896572644989313,4.859812404361672,7.273092595999522,2.5649493574615367,2.833213344056216,1.9459101490553132,16
nokia,3090,5,8,android,2560.0,9.61547209118311,4.174387269895637,7.273092595999522,2.6390573296152584,2.6390573296152584,1.6094379124341003,16
samsung,3500,6,8,android,2960.0,10.308985993422082,4.174387269895637,7.273092595999522,2.5649493574615367,2.1972245773362196,1.6094379124341003,1
samsung,3000,6,8,android,2960.0,10.203406942652387,4.174387269895637,7.273092595999522,2.5649493574615367,2.1972245773362196,1.6094379124341003,1
lg,3300,6,1,android,2880.0,10.085434038999999,3.4965075614664802,7.273092595999522,2.6390573296152584,1.791759469228055,1.3862943611198906,1
oneplus,3400,6,4,android,1920.0,9.903487552536127,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.9459101490553132,16
samsung,4000,6,8,android,1920.0,9.740968623038354,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.9459101490553132,16
google,3450,6,4,android,2560.0,10.341452118734878,3.4965075614664802,7.273092595999522,2.5649493574615367,2.1972245773362196,1.6094379124341003,1
apple,2900,6,4,ios,1920.0,10.46310334047155,3.4965075614664802,6.985641817639208,2.5649493574615367,2.0794415416798357,1.3862943611198906,1
apple,1960,5,4,ios,1334.0,10.239959789157341,3.4965075614664802,6.621405651764134,2.5649493574615367,2.0794415416798357,1.0986122886681098,1
honor,3000,5,8,android,1920.0,9.915761913411517,3.4965075614664802,6.985641817639208,2.5649493574615367,2.1972245773362196,1.6094379124341003,16
oneplus,3000,6,4,android,1920.0,10.043249494911286,4.174387269895637,6.985641817639208,2.833213344056216,2.1972245773362196,1.9459101490553132,16
asus,3000,6,4,android,1920.0,10.714417768752456,5.54907608489522,6.985641817639208,3.1780538303479458,2.1972245773362196,1.9459101490553132,16
xiaomi,3000,5,4,android,1920.0,10.126631103850338,3.4965075614664802,6.985641817639208,2.833213344056216,1.6094379124341003,1.3862943611198906,16
samsung,3600,6,8,android,2560.0,10.596559730283433,3.4965075614664802,7.273092595999522,2.5649493574615367,1.791759469228055,1.6094379124341003,16
samsung,3000,5,8,android,2560.0,10.085809109330082,3.4965075614664802,7.273092595999522,2.5649493574615367,1.791759469228055,1.6094379124341003,16
motorola,3760,5,8,android,2560.0,8.852950887099581,3.4965075614664802,7.273092595999522,3.091042453358316,1.791759469228055,1.3862943611198906,1
huawei,3450,6,8,android,2560.0,10.668932138591325,3.4965075614664802,7.273092595999522,2.5649493574615367,2.1972245773362196,1.3862943611198906,1
apple,2750,6,1,ios,1920.0,10.165505603232393,2.833213344056216,6.985641817639208,2.5649493574615367,1.791759469228055,1.0986122886681098,1
yu,2500,6,8,cyanogen,1920.0,8.698847859222488,2.833213344056216,6.985641817639208,2.6390573296152584,1.791759469228055,1.0986122886681098,16
samsung,3050,6,8,android,1920.0,8.895629627136483,3.4965075614664802,6.985641817639208,2.833213344056216,1.791759469228055,1.0986122886681098,16
samsung,2550,5,8,android,2560.0,10.165851817003619,3.4965075614664802,7.273092595999522,2.833213344056216,1.791759469228055,1.3862943611198906,1
yu,2500,6,8,cyanogen,1280.0,8.294049640102028,2.833213344056216,6.580639137284949,2.6390573296152584,1.791759469228055,1.0986122886681098,16
xiaomi,3100,6,8,android,1280.0,8.987196820661973,2.1972245773362196,6.580639137284949,2.6390573296152584,1.791759469228055,1.0986122886681098,16
realme,5000,7,8,android,1600.0,8.85366542803745,3.4965075614664802,6.580639137284949,2.5649493574615367,1.791759469228055,1.3862943611198906,16
poco,4500,7,8,android,2400.0,9.680344001221918,4.174387269895637,6.985641817639208,4.174387269895637,3.044522437723423,1.9459101490553132,16
samsung,4500,7,8,android,2400.0,10.596634733096073,4.859812404361672,6.985641817639208,3.8918202981106265,3.4965075614664802,2.1972245773362196,1
realme,5000,7,8,android,1600.0,9.104979856318357,4.174387269895637,6.580639137284949,2.5649493574615367,2.1972245773362196,1.6094379124341003,16
samsung,4500,7,8,android,2400.0,10.571316925111784,4.859812404361672,6.985641817639208,2.5649493574615367,3.4965075614664802,1.9459101490553132,1
vivo,4500,6,8,android,2400.0,9.959442464680574,4.859812404361672,6.985641817639208,3.8918202981106265,3.4965075614664802,2.1972245773362196,16
vivo,5000,7,8,android,2340.0,9.3048320350689,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.6094379124341003,16
realme,5000,7,8,android,1600.0,9.210340371976184,4.174387269895637,6.580639137284949,3.8918202981106265,2.6390573296152584,1.6094379124341003,16
realme,4000,6,8,android,2340.0,9.740968623038354,4.174387269895637,6.985641817639208,4.174387269895637,3.4965075614664802,1.6094379124341003,16
vivo,4100,6,8,android,2400.0,10.174315895415749,4.859812404361672,6.985641817639208,3.8918202981106265,3.4965075614664802,2.1972245773362196,16
nubia,5000,7,8,android,2340.0,10.778956289890028,4.859812404361672,6.985641817639208,3.8918202981106265,2.833213344056216,2.1972245773362196,16
samsung,6000,6,8,android,2340.0,9.472704636443673,4.174387269895637,6.985641817639208,3.8918202981106265,2.833213344056216,1.6094379124341003,16
vivo,4500,6,8,android,2340.0,9.679781342959442,4.859812404361672,6.985641817639208,3.8918202981106265,3.4965075614664802,1.6094379124341003,16
oppo,4000,7,8,android,2340.0,10.047631185616188,5.54907608489522,6.985641817639208,3.8918202981106265,2.833213344056216,2.1972245773362196,1
realme,4000,6,8,android,2340.0,9.615805480084347,4.174387269895637,6.985641817639208,4.174387269895637,2.833213344056216,1.6094379124341003,16
xiaomi,4500,7,8,android,2340.0,9.546812608597396,4.174387269895637,6.985641817639208,4.174387269895637,3.044522437723423,1.9459101490553132,16
nokia,3500,6,8,android,2340.0,9.640693195592126,4.174387269895637,6.985641817639208,3.8918202981106265,3.044522437723423,1.6094379124341003,16
samsung,4000,6,8,android,2340.0,9.720225553665117,4.859812404361672,6.985641817639208,3.8918202981106265,3.4965075614664802,1.6094379124341003,16
realme,4035,6,8,android,2340.0,9.392661928770137,4.174387269895637,6.985641817639208,3.8918202981106265,2.833213344056216,1.6094379124341003,16
realme,5000,7,8,android,1600.0,9.059633754551479,3.4965075614664802,6.580639137284949,2.5649493574615367,2.6390573296152584,1.3862943611198906,16
vivo,5000,7,8,android,2340.0,9.472012088995733,4.174387269895637,6.985641817639208,2.833213344056216,3.4965075614664802,1.6094379124341003,16
xiaomi,4030,6,8,android,1560.0,9.37974553683691,4.174387269895637,6.580639137284949,3.8918202981106265,3.4965075614664802,1.6094379124341003,16
asus,5000,6,8,android,2340.0,10.239959789157341,4.174387269895637,6.985641817639208,3.8918202981106265,3.8918202981106265,1.9459101490553132,16
samsung,3500,6,8,android,2340.0,9.733884768149949,4.859812404361672,6.985641817639208,3.4965075614664802,2.833213344056216,1.9459101490553132,16
xiaomi,4000,6,8,android,2340.0,9.065314599925925,3.4965075614664802,6.985641817639208,3.8918202981106265,2.6390573296152584,1.3862943611198906,16
motorola,3500,6,8,android,2520.0,9.524493961633755,4.859812404361672,6.985641817639208,3.8918202981106265,3.258096538021482,1.6094379124341003,16
nubia,5000,7,8,android,2340.0,10.491274217438248,4.859812404361672,6.985641817639208,3.8918202981106265,2.833213344056216,2.1972245773362196,16
oppo,4020,7,8,android,2340.0,9.391911647379434,4.859812404361672,6.985641817639208,2.833213344056216,2.833213344056216,1.6094379124341003,16
google,3700,6,8,android,2160.0,10.46310334047155,4.174387269895637,6.985641817639208,2.5649493574615367,2.1972245773362196,1.6094379124341003,1
lg,3550,6,8,android,2248.0,10.596409707779776,4.174387269895637,6.985641817639208,2.5649493574615367,2.1972245773362196,1.9459101490553132,16
vivo,3700,6,8,android,2340.0,9.796681548218318,4.859812404361672,6.985641817639208,3.8918202981106265,3.4965075614664802,1.9459101490553132,16
xiaomi,4000,6,8,android,2340.0,9.179881164491475,3.4965075614664802,6.985641817639208,2.5649493574615367,2.6390573296152584,1.3862943611198906,16
samsung,5000,6,8,android,2340.0,9.210340371976184,3.4965075614664802,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
samsung,5000,6,8,android,2340.0,9.159047077588632,3.4965075614664802,6.985641817639208,2.6390573296152584,2.833213344056216,1.3862943611198906,16
asus,5000,6,8,android,2280.0,9.392661928770137,3.4965075614664802,6.985641817639208,2.5649493574615367,2.6390573296152584,1.3862943611198906,16
realme,3500,6,8,android,2340.0,9.104979856318357,3.4965075614664802,6.985641817639208,2.6390573296152584,3.258096538021482,1.3862943611198906,16
honor,3400,6,8,android,2340.0,8.987196820661973,3.4965075614664802,6.985641817639208,2.6390573296152584,3.2188758248682006,1.3862943611198906,16
nokia,3500,6,8,android,2244.0,9.798182590890704,4.174387269895637,6.985641817639208,2.5649493574615367,3.044522437723423,1.6094379124341003,16
samsung,3800,6,8,android,2220.0,9.99884318585288,4.859812404361672,6.985641817639208,3.2188758248682006,3.2188758248682006,1.9459101490553132,16
samsung,3300,6,8,android,2220.0,9.71057005652877,4.174387269895637,6.985641817639208,3.2188758248682006,3.2188758248682006,1.6094379124341003,16
xiaomi,4000,6,8,android,2280.0,9.167537249650874,4.174387269895637,6.985641817639208,2.5649493574615367,3.044522437723423,1.6094379124341003,16
vivo,3400,6,8,android,2340.0,9.615205300012315,4.174387269895637,6.985641817639208,2.5649493574615367,3.258096538021482,1.9459101490553132,16
oppo,3700,6,8,android,2340.0,9.966462351697517,4.859812404361672,6.985641817639208,2.5649493574615367,3.258096538021482,2.1972245773362196,16
nokia,3060,6,8,android,1520.0,8.85366542803745,3.4965075614664802,6.580639137284949,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
honor,3750,7,8,android,2340.0,9.210340371976184,4.174387269895637,6.985641817639208,3.044522437723423,2.833213344056216,1.6094379124341003,16
poco,4000,6,8,android,2246.0,9.615205300012315,4.174387269895637,6.985641817639208,2.5649493574615367,3.044522437723423,1.9459101490553132,16
nokia,3060,6,8,android,2280.0,9.104979856318357,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.6094379124341003,16
vivo,4000,7,8,android,2316.0,10.308952660644293,4.859812404361672,6.985641817639208,2.5649493574615367,2.1972245773362196,2.1972245773362196,16
oppo,3730,6,8,android,2340.0,10.986833907533804,5.54907608489522,6.985641817639208,2.833213344056216,3.258096538021482,2.1972245773362196,16
honor,3750,6,8,android,2340.0,9.798793481421463,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.6094379124341003,16
realme,3410,6,8,android,2160.0,9.239899174217728,3.4965075614664802,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
xiaomi,3000,6,8,android,2160.0,9.103979355984773,4.174387269895637,6.985641817639208,2.5649493574615367,3.044522437723423,1.6094379124341003,16
honor,3400,6,8,android,2280.0,9.740439071085758,4.859812404361672,6.985641817639208,2.833213344056216,3.2188758248682006,1.9459101490553132,16
oppo,3400,6,8,android,2280.0,9.851720461714246,4.174387269895637,6.985641817639208,2.833213344056216,3.258096538021482,1.6094379124341003,16
vivo,3200,6,8,android,2280.0,9.814164414575925,4.174387269895637,6.985641817639208,2.5649493574615367,2.5649493574615367,1.9459101490553132,16
nokia,3260,6,8,android,2560.0,9.546812608597396,4.859812404361672,7.273092595999522,2.5649493574615367,1.791759469228055,1.9459101490553132,1
infinix,4000,6,8,android,1440.0,9.210340371976184,3.4965075614664802,6.580639137284949,2.6390573296152584,3.044522437723423,1.3862943611198906,16
nokia,3000,6,8,android,1920.0,9.088172738001974,3.4965075614664802,6.985641817639208,2.833213344056216,2.1972245773362196,1.3862943611198906,16
honor,3750,6,8,android,2160.0,9.674074388208323,4.859812404361672,6.985641817639208,2.833213344056216,2.6390573296152584,1.9459101490553132,16
infinix,4350,6,8,android,1920.0,9.674137279312397,4.859812404361672,6.985641817639208,2.5649493574615367,2.833213344056216,1.9459101490553132,16
oppo,3200,6,8,android,2160.0,9.259130536145614,3.4965075614664802,6.985641817639208,2.833213344056216,3.044522437723423,1.6094379124341003,16
oneplus,3300,6,8,android,2160.0,10.257659366256743,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.9459101490553132,16
honor,3340,6,8,android,2160.0,9.104979856318357,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.6094379124341003,16
xiaomi,3400,6,8,android,2160.0,10.308952660644293,4.174387269895637,6.985641817639208,2.5649493574615367,1.791759469228055,1.9459101490553132,16
lenovo,4000,5,8,android,1920.0,8.852378886511985,3.4965075614664802,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
xiaomi,3080,6,8,android,1920.0,9.210340371976184,3.4965075614664802,6.985641817639208,2.5649493574615367,1.791759469228055,1.6094379124341003,16
lg,3300,6,8,android,2880.0,10.239959789157341,4.859812404361672,7.273092595999522,2.833213344056216,1.791759469228055,1.6094379124341003,16
lenovo,4000,6,10,android,1920.0,8.895629627136483,3.4965075614664802,6.985641817639208,2.6390573296152584,2.6390573296152584,1.3862943611198906,16
motorola,3000,5,8,android,1920.0,9.210340371976184,3.4965075614664802,6.985641817639208,2.833213344056216,1.791759469228055,1.3862943611198906,16
google,3520,6,8,android,2880.0,9.47231994707559,4.174387269895637,7.273092595999522,2.5649493574615367,2.1972245773362196,1.6094379124341003,1
google,2700,5,8,android,1920.0,9.209840246934501,4.174387269895637,6.985641817639208,2.5649493574615367,2.1972245773362196,1.6094379124341003,1
motorola,3000,5,8,android,1920.0,9.433563920090563,3.4965075614664802,6.985641817639208,2.5649493574615367,2.833213344056216,1.3862943611198906,16
motorola,3000,6,8,android,1920.0,9.04793908261736,3.4965075614664802,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
xiaomi,3300,6,8,android,1440.0,8.779557455883728,2.833213344056216,6.580639137284949,2.5649493574615367,1.791759469228055,1.0986122886681098,16
xiaomi,4000,6,8,android,2160.0,9.071078304642676,3.4965075614664802,6.985641817639208,2.5649493574615367,1.791759469228055,1.3862943611198906,16
jio,2000,2,2,cyanogen,320.0,7.1308988302963465,1.6094379124341003,5.484796933490655,1.0986122886681098,0.0,0.0,1
samsung,3300,6,8,android,1920.0,9.199380531739841,3.4965075614664802,6.985641817639208,2.6390573296152584,2.6390573296152584,1.6094379124341003,16
motorola,3000,6,8,android,1920.0,9.259130536145614,4.174387269895637,6.985641817639208,2.5649493574615367,1.791759469228055,1.6094379124341003,16
yu,3000,5,8,android,1920.0,8.698013622083925,3.4965075614664802,6.985641817639208,2.6390573296152584,2.1972245773362196,1.6094379124341003,16
xiaomi,5300,6,8,android,1920.0,9.104979856318357,3.4965075614664802,6.985641817639208,2.5649493574615367,1.791759469228055,1.6094379124341003,16
coolpad,4060,6,8,android,1920.0,9.104979856318357,4.174387269895637,6.985641817639208,2.6390573296152584,2.1972245773362196,1.9459101490553132,16
oneplus,3300,6,8,android,1920.0,9.769956159911606,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.9459101490553132,16
honor,4000,6,8,android,2560.0,9.774915271736365,4.859812404361672,7.273092595999522,2.5649493574615367,2.1972245773362196,1.9459101490553132,16
micromax,3200,6,8,android,1920.0,9.546812608597396,4.859812404361672,6.985641817639208,2.6390573296152584,2.6390573296152584,1.6094379124341003,16
oppo,4000,6,8,android,1920.0,9.546169544733285,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.6094379124341003,16
sony,3230,6,8,android,3840.0,10.419330568113901,4.174387269895637,7.6783263565068856,2.995732273553991,2.6390573296152584,1.6094379124341003,16
motorola,3000,5,8,android,1920.0,9.296609807128359,2.833213344056216,6.985641817639208,2.5649493574615367,1.791759469228055,1.3862943611198906,16
asus,5000,5,8,android,1280.0,9.615805480084347,3.4965075614664802,6.580639137284949,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
samsung,3300,6,1,android,1920.0,9.740968623038354,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.6094379124341003,16
htc,2500,5,8,android,1920.0,9.648659816955295,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.6094379124341003,16
htc,3000,6,4,android,2560.0,10.908997222941913,4.174387269895637,7.273092595999522,2.5649493574615367,2.833213344056216,1.6094379124341003,16
asus,3300,6,4,android,2560.0,10.819778284410283,4.859812404361672,7.273092595999522,3.1780538303479458,2.1972245773362196,2.1972245773362196,16
xiaomi,3120,5,4,android,1280.0,8.85366542803745,2.833213344056216,6.580639137284949,2.6390573296152584,1.791759469228055,1.0986122886681098,16
xiaomi,4100,5,8,android,1280.0,9.104979856318357,2.833213344056216,6.580639137284949,2.6390573296152584,1.791759469228055,1.0986122886681098,16
nubia,3000,5,8,android,1920.0,9.740968623038354,4.174387269895637,6.985641817639208,3.1780538303479458,2.6390573296152584,1.6094379124341003,16
lenovo,3500,5,4,android,1920.0,9.350102314351341,3.4965075614664802,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
lg,3200,6,4,android,2560.0,10.203592144986466,4.174387269895637,7.273092595999522,2.833213344056216,1.791759469228055,1.6094379124341003,16
lenovo,4000,5,8,android,1920.0,9.04793908261736,3.4965075614664802,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
sony,2900,5,4,android,1920.0,9.392661928770137,4.174387269895637,6.985641817639208,3.1780538303479458,2.6390573296152584,1.3862943611198906,16
samsung,3300,6,8,android,1920.0,9.680093969966709,2.833213344056216,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
motorola,3510,6,8,android,1920.0,9.103979355984773,3.4965075614664802,6.985641817639208,2.833213344056216,1.791759469228055,1.3862943611198906,16
xiaomi,4100,6,8,android,1920.0,9.209439966733019,3.4965075614664802,6.985641817639208,2.6390573296152584,1.791759469228055,1.0986122886681098,16
xiaomi,4100,5,8,android,1280.0,8.987321812850125,3.4965075614664802,6.580639137284949,2.6390573296152584,1.791759469228055,1.3862943611198906,16
motorola,2600,6,4,android,2560.0,9.392661928770137,4.174387269895637,7.273092595999522,2.6390573296152584,1.791759469228055,1.6094379124341003,16
asus,3000,6,8,android,1920.0,9.615805480084347,4.174387269895637,6.985641817639208,2.833213344056216,2.1972245773362196,1.6094379124341003,16
smartron,3000,6,8,android,1920.0,8.610865667278873,3.4965075614664802,6.985641817639208,2.6390573296152584,1.6094379124341003,1.6094379124341003,16
motorola,3000,6,8,android,1920.0,8.699514748210191,2.833213344056216,6.985641817639208,2.833213344056216,1.791759469228055,1.0986122886681098,16
coolpad,2800,6,8,android,1920.0,9.047821442478408,4.174387269895637,6.985641817639208,2.6390573296152584,1.791759469228055,1.6094379124341003,16
xiaomi,4850,6,6,android,1920.0,9.391911647379434,3.4965075614664802,6.985641817639208,2.833213344056216,1.791759469228055,1.3862943611198906,16
lenovo,4100,6,4,android,1920.0,8.922658299524402,4.174387269895637,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
leeco,3000,6,8,android,1920.0,8.85366542803745,3.4965075614664802,6.985641817639208,2.833213344056216,2.1972245773362196,1.3862943611198906,16
leeco,3100,6,4,android,2560.0,8.960724500330858,3.4965075614664802,7.273092595999522,3.091042453358316,2.1972245773362196,1.0986122886681098,16
huawei,3000,5,8,android,1920.0,10.596634733096073,3.4965075614664802,6.985641817639208,2.5649493574615367,2.1972245773362196,1.3862943611198906,1
apple,1624,4,1,ios,1136.0,9.740968623038354,2.833213344056216,6.46302945692067,2.5649493574615367,0.6931471805599453,1.0986122886681098,1
lg,2800,5,4,android,2560.0,9.305650551780507,3.4965075614664802,7.273092595999522,2.833213344056216,2.1972245773362196,1.6094379124341003,16
oppo,2500,5,8,android,1280.0,9.104979856318357,2.833213344056216,6.580639137284949,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
samsung,2900,5,8,android,1920.0,9.903037451255743,2.833213344056216,6.985641817639208,2.6390573296152584,1.791759469228055,1.0986122886681098,16
xiaomi,4050,6,6,android,1920.0,8.83927669058535,2.833213344056216,6.985641817639208,2.833213344056216,1.791759469228055,1.0986122886681098,16
htc,2150,5,8,android,1920.0,10.313940202155331,3.4965075614664802,6.985641817639208,2.6390573296152584,1.6094379124341003,1.3862943611198906,1
blackberry,3410,5,6,android,2560.0,9.903487552536127,3.4965075614664802,7.273092595999522,2.9444389791664403,1.0986122886681098,1.3862943611198906,1
lg,2700,5,6,android,1920.0,10.165505603232393,2.833213344056216,6.985641817639208,2.5649493574615367,1.791759469228055,1.0986122886681098,1
apple,1715,5,2,ios,1334.0,10.043249494911286,2.833213344056216,6.621405651764134,2.5649493574615367,1.791759469228055,1.0986122886681098,1
lenovo,4900,6,8,android,1920.0,9.680344001221918,3.4965075614664802,6.985641817639208,2.6390573296152584,1.791759469228055,1.0986122886681098,16
lenovo,2420,5,8,android,1920.0,9.3048320350689,3.4965075614664802,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
samsung,3000,6,8,android,2560.0,9.798127036878302,3.4965075614664802,7.273092595999522,2.833213344056216,1.791759469228055,1.6094379124341003,1
samsung,3000,6,8,android,2560.0,9.615805480084347,3.4965075614664802,7.273092595999522,2.833213344056216,1.791759469228055,1.6094379124341003,1
motorola,3630,6,8,android,1920.0,8.986071187374463,2.833213344056216,6.985641817639208,3.091042453358316,1.791759469228055,1.0986122886681098,16
