Name,Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,Operating system,Wi-Fi,Bluetooth,GPS,3G,4G/ LTE,Resolution_width(px),Resolution_height(px),Price,Internal_storage(GB),Rear_Camera(MP),Front_Camera(MP),RAM(GB),Number of SIMs
Honor 9N,Honor,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.431434508526274,8.922658299524402,0.5340813189817668,0.41562338496454787,1.4073595766500984,0.5204715396506635,0.41659169399276824
Huawei Nova 3i,Huawei,0.4671465053826201,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.5393458044593296,9.998797732340453,2.0920764700263845,0.7790173689482113,2.0272598158699267,1.0091139351558178,0.41659169399276824
Huawei Nova 3,Huawei,0.9367790702011717,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.5393458044593296,9.680344001221918,2.0920764700263845,0.7790173689482113,2.0272598158699267,1.7790267403792863,0.41659169399276824
Xiaomi Redmi 6 Pro,Xiaomi,1.2231403902124838,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.431434508526274,9.022925868116218,0.5340813189817668,0.2776316517840247,-0.06655195422890328,0.5204715396506635,0.41659169399276824
Xiaomi Redmi 6A,Xiaomi,0.07769511016723579,-0.5553478324017044,Yes,-0.6949802219880059,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,8.648221453822641,-0.2239363612360481,0.41562338496454787,-0.06655195422890328,-0.08478362749881975,0.41659169399276824
Xiaomi Redmi Y2,Xiaomi,0.16933073257085562,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,8.987196820661973,0.5340813189817668,0.2776316517840247,1.4073595766500984,0.5204715396506635,0.41659169399276824
Tecno Camon iClick,Tecno,0.9367790702011717,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,8.912069097970134,1.3087674093511814,0.7790173689482113,1.7416702940038153,1.0091139351558178,0.41659169399276824
Redmi 6,Xiaomi,0.07769511016723579,-0.5553478324017044,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,8.879193928110318,0.5340813189817668,0.2776316517840247,-0.06655195422890328,0.5204715396506635,0.41659169399276824
Samsung Galaxy J8,Samsung,0.6504177501898597,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,9.648595302907339,1.3087674093511814,0.7790173689482113,1.4073595766500984,1.0091139351558178,0.41659169399276824
Samsung Galaxy J6,Samsung,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.007382770581134392,9.158099260130491,0.5340813189817668,0.41562338496454787,0.4746544835841936,0.5204715396506635,0.41659169399276824
